x_value,y_value,z_value
552320,715080,12
552330,715100,12.3
552320,715100,12
552330,715090,12.3
552320,715090,12
552310,715090,11.7
552300,715090,11.4
552320,715140,13.4
552310,715140,13.8
552300,715140,13.7
552290,715140,13.5
552320,715130,12.8
552310,715130,13.1
552300,715130,13.1
552290,715130,12.9
552340,715130,12.7
552330,715130,12.6
552340,715120,12.7
552330,715120,12.5
552320,715120,12.5
552340,715110,12.7
552330,715110,12.5
552320,715110,12.1
552260,715130,9.6
552250,715130,7.4
552270,715120,11.5
552260,715120,10.4
552250,715120,7.5
552270,715110,11.9
552260,715110,12
552250,715110,8.8
552280,715120,12.1
552280,715110,11.8
552290,715110,12.1
552290,715100,11.8
552290,715090,11.6
552280,715100,11.7
552250,715140,7.6
552240,715140,5.5
552230,715140,4.1
552220,715140,3.8
552240,715130,5.1
552230,715130,3.9
552220,715130,3.8
552240,715120,4.3
552230,715120,3.1
552220,715120,3.7
552240,715110,3.4
552280,715130,12.2
552270,715130,11.2
552300,715120,12.5
552290,715120,12.4
552300,715110,11.8
552300,715100,11.4
552310,715110,11.9
552310,715100,11.5
552310,715120,12.5
552340,715150,13.7
552330,715150,13.7
552320,715150,13.9
552310,715150,14.2
552340,715140,13.1
552330,715140,13
552360,715140,13.8
552350,715140,13.6
552360,715130,13.8
552350,715130,13.6
552350,715120,13.2
552280,715200,11
552270,715200,9.6
552260,715200,8
552250,715200,5.7
552240,715200,2.9
552280,715190,12.6
552270,715190,10.6
552260,715190,9.5
552250,715190,7.6
552240,715190,1.3
552280,715180,13.6
552270,715180,11.2
552260,715180,10
552250,715180,8.1
552240,715180,2.8
552280,715170,13.2
552270,715170,11.6
552260,715170,10.2
552250,715170,8.2
552240,715170,3.2
552230,715180,1.4
552230,715170,1.8
552250,715160,9.2
552240,715160,4.1
552230,715160,2.2
552250,715150,8.1
552240,715150,5.3
552230,715150,3.7
552330,715190,13.7
552320,715190,13.8
552310,715190,13.9
552300,715190,13.9
552290,715190,13.5
552330,715180,14.4
552320,715180,14.5
552310,715180,14.4
552300,715180,14.4
552290,715180,14.3
552330,715170,14.5
552320,715170,14.6
552310,715170,14.5
552300,715170,14.5
552290,715170,14.1
552330,715160,14.2
552320,715160,14.4
552310,715160,14.4
552300,715160,14.3
552290,715160,13.9
552280,715160,12.8
552300,715150,14.1
552290,715150,14.1
552280,715150,12.5
552280,715140,12.6
552360,715170,13.6
552350,715170,14.2
552340,715170,14.3
552370,715160,12
552370,715170,12.4
552350,715160,14.3
552370,715150,12.9
552260,715240,3.4
552270,715240,2.8
552270,715230,4.5
552280,715240,2.8
552280,715230,5.4
552260,715230,4.2
552250,715230,4
552340,715230,12.3
552330,715230,12.5
552320,715240,12.3
552320,715230,12.4
552310,715240,12.4
552310,715230,11.9
552300,715240,10.2
552290,715250,2.2
552290,715240,4.7
552350,715220,11.2
552350,715230,11
552360,715200,11
552350,715200,12
552340,715200,12.7
552330,715210,12.6
552330,715200,13.1
552320,715210,12.8
552320,715200,13.3
552310,715200,13.3
552310,715210,12.7
552310,715220,12.1
552320,715220,12.6
552330,715220,12.4
552340,715220,12
552350,715210,11.6
552360,715210,10.3
552370,715210,8.6
552370,715200,9.7
552340,715210,12.2
552380,715200,8.9
552350,715190,12.8
552340,715190,13.3
552350,715180,13.6
552340,715180,14.1
552380,715190,10.3
552370,715190,10.9
552360,715190,11.9
552400,715180,11.9
552390,715180,11.5
552380,715180,11.4
552370,715180,11.8
552360,715180,12.7
552420,715170,13.2
552410,715170,13.2
552440,715170,11.5
552430,715170,12.6
552400,715170,12.9
552390,715170,12.5
552380,715170,12.1
552440,715160,11.2
552430,715160,13.2
552420,715160,14
552410,715160,14
552400,715160,13.7
552390,715160,13.4
552380,715160,12.4
552460,715170,9.8
552460,715160,9.5
552450,715160,10
552450,715170,10.5
552430,715180,12.1
552420,715180,12.3
552410,715180,12.2
552300,715230,9.9
552260,715210,6.7
552250,715210,5.2
552270,715210,8
552280,715210,9.3
552290,715210,10.4
552300,715200,12.9
552290,715200,12.3
