x_value,y_value,z_value
07 00 00,3 00 00,0.2
07 00 00,3 00 15,0.15
07 00 00 ,3 00 30,0.12
07 00 00 ,3 00 45,0.11
07 00 00 ,3 01 00,0.22
07 00 00 ,3 01 15,0.23
07 00 00 ,3 01 30,0.35
07 00 00 ,3 01 45,0.45
07 00 00 ,3 02 00,0.4
07 00 00 ,3 02 15,0.35
07 00 00 ,3 02 30,0.3
07 00 00 ,3 02 45,0.3
07 00 00 ,3 03 00,0.31
07 00 00 ,3 03 15,0.35
07 00 00 ,3 03 30,0.25
07 00 00,3 03 45,0.33
07 00 00,3 04 00,0.38
07 00 00,3 04 15,0.25
07 00 15,3 00 00,0.45
07 00 15,3 00 15,0.5
07 00 15,3 00 30,0.6
07 00 15,3 00 45,0.7
07 00 15,3 01 00,0.55
07 00 15,3 01 15,0.4
07 00 15,3 01 30,0.4
07 00 15,3 01 45,0.45
07 00 15,3 02 00,0.5
07 00 15,3 02 15,0.46
07 00 15,3 02 30,0.55
07 00 15,3 02 45,0.2
07 00 15,3 03 00,0.21
07 00 15,3 03 15,0.18
07 00 15,3 03 30,0.17
07 00 15,3 03 45,0.16
07 00 15,3 04 00,0.15
07 00 15,3 04 15,0.17
07 00 15,3 04 30,0.2
07 00 30,3 00 00,0.21
07 00 30,3 00 15,0.4
07 00 30,3 00 30,0.45
07 00 30,3 00 45,0.5
07 00 30,3 01 00,0.47
07 00 30,3 01 15,0.6
07 00 30,3 01 30,0.46
07 00 30,3 01 45,0.47
07 00 30,3 02 00,0.45
07 00 30,3 02 15,0.5
07 00 30,3 02 30,0.46
07 00 30,3 02 45,0.46
07 00 30,3 03 00,0.45
07 00 30,3 03 15,0.45
07 00 30,3 03 30,0.25
07 00 30,3 03 45,0.25
07 00 30,3 04 00,0.2
07 00 30,3 04 15,0.2
07 00 30,3 04 30,0.2
07 00 30,3 04 45,0.2
07 00 45,3 00 00,0.3
07 00 45,3 00 15,0.3
07 00 45,3 00 30,0.5
07 00 45,3 00 45,0.45
07 00 45,3 01 00,0.55
07 00 45,3 01 15,0.46
07 00 45,3 01 30,0.47
07 00 45,3 01 45,0.55
07 00 45,3 02 00,0.55
07 00 45,3 02 15,0.55
07 00 45,3 02 30,0.55
07 00 45,3 02 45,0.2
07 00 45,3 03 00,0.25
07 00 45,3 03 15,0.23
07 00 45,3 03 30,0.33
07 00 45,3 03 45,0.2
07 00 45,3 04 00,0.2
07 00 45,3 04 15,0.23
07 00 45,3 04 30,0.22
07 00 45,3 04 45,0.21
07 01 00,3 00 00,0.22
07 01 00,3 00 15,0.22
07 01 00,3 00 30,0.22
07 01 00,3 00 45,0.45
07 01 00,3 01 00,0.45
07 01 00,3 01 15,0.46
07 01 00,3 01 30,0.47
07 01 00,3 01 45,0.48
07 01 00,3 02 00,0.48
07 01 00,3 02 15,0.47
07 01 00,3 02 30,0.48
07 01 00,3 02 45,0.48
07 01 00,3 03 00,0.45
07 01 00,3 03 15,0.56
07 01 00,3 03 30,0.17
07 01 00,3 03 45,0.17
07 01 00,3 04 00,0.17
07 01 00,3 04 15,0.2
07 01 00,3 05 00,0.2
07 01 00,3 05 15,0.25
07 01 00,3 05 30,0.22
07 01 00,3 05 45,0.3
07 01 00,3 06 00,0.35
07 01 15,3 01 15,0.38
07 01 15,3 01 30,0.32
07 01 15,3 01 45,0.3
07 01 15,3 02 00,0.3
07 01 15,3 02 15,0.35
07 01 15,3 02 30,0.45
07 01 15,3 02 45,0.55
07 01 15,3 03 00,0.5
07 01 15,3 03 15,0.55
07 01 15,3 03 30,0.6
07 01 15,3 03 45,0.6
07 01 15,3 04 00,0.66
07 01 15,3 04 15,0.66
07 01 15,3 04 30,0.66
07 01 30,3 00 00,0.66
07 01 30,3 00 15,0.66
07 01 30,3 00 30,0.66
07 01 30,3 00 45,0.66
07 01 30,3 01 00,0.11
07 01 30,3 01 15,0.12
07 01 30,3 01 30,0.45
07 01 30,3 01 45,0.45
07 01 30,3 02 00,0.55
07 01 30,3 02 15,0.6
07 01 30,3 02 30,0.6
07 01 30,3 02 45,0.6
07 01 30,3 03 00,0.66
07 01 30,3 03 15,0.66
07 01 30,3 03 30,0.66
07 01 30,3 03 45,0.66
07 01 30,3 04 00,0.25
07 01 30,3 04 15,0.11
07 01 30,3 04 30,0.11
07 01 30,3 04 45,0.11
07 01 45,3 00 00,0.11
07 01 45,3 00 15,0.15
07 01 45,3 00 30,0.15
07 01 45,3 00 45,0.17
07 01 45,3 01 00,0.46
07 01 45,3 01 15,0.45
07 01 45,3 01 30,0.47
07 01 45,3 01 45,0.55
07 01 45,3 02 00,0.45
07 01 45,3 02 15,0.44
07 01 45,3 02 30,0.48
07 01 45,3 02 45,0.47
07 01 45,3 03 00,0.48
07 01 45,3 03 15,0.44
07 01 45,3 03 30,0.3
07 01 45,3 03 45,0.35
07 01 45,3 04 00,0.31
07 01 45,3 04 15,0.32
07 01 45,3 04 30,0.31
07 01 45,3 04 45,0.25
07 02 00,3 00 00,0.27
07 02 00,3 00 15,0.3
07 02 00,3 00 30,0.45
07 02 00,3 00 45,0.48
07 02 00,3 01 00,0.47
07 02 00,3 01 15,0.48
07 02 00,3 01 30,0.49
